batch_size;learning_rate;RMSE;MAPE;R2
8;0,001;0,012508991720517887;0,009073141475865599;0,9903922636322183
16;0,001;0,015431452003702703;0,014224765015262304;0,9853785631675211
8;0,0001;0,015976292627538323;0,013697037554048816;0,984327853567695
32;0,001;0,021557935427503606;0,019173555246636033;0,9714641508138777
16;0,0001;0,02187540448394036;0,018805911424076217;0,9706175063058899
32;0,0001;0,03142647187915717;0,027523837097400913;0,9393588090196875
8;0,01;0,08768332820902011;0,08491876317267125;0,5279255241236841
16;0,01;0,10093103558576896;0,10033874947147382;0,37450199894635383
32;0,01;0,11598098576929801;0,11664047162369136;0,1740570340466917
